contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
FUTURES STOCK,BKT,0,0,812,0,8,116,2026-06-05,False
FUTURES STOCK,IDR,3,10,3129,2,29,340,2026-06-05,False
FUTURES STOCK,IBE,19,19,25995,4,241,7381,2026-06-05,False
FUTURES STOCK,IAG,0,0,600,0,6,40,2026-06-05,False
FUTURES STOCK,GRF,0,4,330,1,3,215,2026-06-05,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-05,False
FUTURES STOCK,ENG,0,0,7711,0,71,7550,2026-06-05,False
FUTURES STOCK,CABK,0,0,1492,0,14,323,2026-06-05,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-05,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-05,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-05,False
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-05,False
FUTURES STOCK,REP,0,15,24311,3,225,15396,2026-06-05,False
OPTIONS STOCK,ANA,5,8,1503,2,14,989,2026-06-05,False
FUTURES MINI IBEX 35,,3052,12294,389230,2459,3604,3650,2026-06-05,False
FUTURES STOCK,BBVA,90,135,144251,27,1336,39186,2026-06-05,False
FUTURES STOCK,ACS,0,5,6058,1,56,1183,2026-06-05,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-05,False
FUTURES STOCK,AMS,0,5,1067,1,10,133,2026-06-05,False
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-05,False
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,6,750,2026-06-05,False
FUTURES STOCK,ELE,0,0,415,0,4,56,2026-06-05,False
FUTURES STOCK TOTAL,,372,460,3762453,92,34839,1644721,2026-06-05,True
OPTIONS INDEX IBEX 35,,259,1032,146683,206,1358,69973,2026-06-05,False
OPTIONS INDEX IBEX 35 TOTAL,,259,1032,146683,206,1358,69973,2026-06-05,True
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-08,False
OPTIONS STOCK,VID,0,2,174,0,2,67,2026-06-08,False
OPTIONS STOCK,MAP,0,19,3165,3,29,1745,2026-06-08,False
OPTIONS STOCK,MRL,2,115,70323,19,645,55024,2026-06-08,False
OPTIONS STOCK,IBE,8113,62563,1770053,10427,16239,1467470,2026-06-08,False
OPTIONS STOCK,IAG,40,4697,23658,783,217,30666,2026-06-08,False
OPTIONS STOCK,IDR,207,336,38578,56,354,5708,2026-06-08,False
OPTIONS STOCK,MEL,2,7,1820,1,17,3293,2026-06-08,False
OPTIONS STOCK,NTGY,0,1582,92435,264,848,20329,2026-06-08,False
OPTIONS STOCK,MTS,24,849,4474,142,41,1451,2026-06-08,False
OPTIONS STOCK,PHM,7,32,591,5,5,301,2026-06-08,False
OPTIONS STOCK,ITX,4,5313,32940,886,302,38837,2026-06-08,False
OPTIONS STOCK,CIE,0,0,166,0,2,160,2026-06-08,False
OPTIONS STOCK,ENG,50,236,33170,39,304,35089,2026-06-08,False
OPTIONS STOCK,FER,2030,8659,57763,1443,530,39518,2026-06-08,False
OPTIONS STOCK,BKT,0,7,7363,1,68,6968,2026-06-08,False
OPTIONS STOCK,FDR,5,7,999,1,9,948,2026-06-08,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-08,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-08,False
OPTIONS STOCK,ELE,1,52,7625,9,70,8181,2026-06-08,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-08,False
OPTIONS STOCK,COL,0,108,8939,18,82,4853,2026-06-08,False
OPTIONS STOCK,CLNX,0,148,32567,25,299,30139,2026-06-08,False
OPTIONS STOCK,RED,1,258,8863,43,81,5742,2026-06-08,False
OPTIONS STOCK,PUIG,1167,2439,32122,407,295,33844,2026-06-08,False
OPTIONS STOCK,GRF,21,351,30440,59,279,21610,2026-06-08,False
OPTIONS STOCK,OHLA,0,0,2788,0,26,2121,2026-06-08,False
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-08,False
OPTIONS STOCK,BBVA,764,24211,707356,4035,6490,655607,2026-06-08,False
FUTURES XROLLING FX,USDJPY,0,2,36,0,0,0,2026-06-08,False
FUTURES XROLLING FX,EURAUD,0,0,35,0,0,0,2026-06-08,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-08,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-08,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-08,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-08,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-08,False
FUTURES XROLLING FX,EURUSD,25,64,1382,11,13,2199,2026-06-08,False
FUTURES XROLLING FX,EURJPY,0,1,254,0,2,12,2026-06-08,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-08,False
FUTURES XROLLING FX,EURCHF,0,1,150,0,1,0,2026-06-08,False
OPTIONS STOCK,REP,483,11488,372446,1915,3417,758333,2026-06-08,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-08,False
OPTIONS STOCK,UNI,0,4,355,1,3,316,2026-06-08,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-08,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,55,0,2026-06-08,True
FUTURES XROLLING FX TOTAL,,25,68,2308,11,19,2216,2026-06-08,True
OPTIONS STOCK,VIS,1,141,707,24,6,420,2026-06-08,False
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-08,False
OPTIONS STOCK,TRE,0,15,1399,3,13,1092,2026-06-08,False
OPTIONS STOCK,TEF,506,19633,1138807,3272,10448,1600653,2026-06-08,False
OPTIONS STOCK,SLR,10,10,10030,2,92,337,2026-06-08,False
OPTIONS STOCK,SCYR,0,40,20999,7,193,20680,2026-06-08,False
